date,open,high,low,close,volume,Name
2013-02-08,143.6,144.855,142.74,143.05,541220,TDG
2013-02-11,143.25,146.45,142.9501,145.18,685019,TDG
2013-02-12,145.55,146.31,143.41,144.91,282593,TDG
2013-02-13,145.0,145.7,143.57,144.75,244229,TDG
2013-02-14,144.28,144.78,142.67,143.44,242413,TDG
2013-02-15,143.21,144.14,142.88,143.77,264173,TDG
2013-02-19,143.73,144.23,142.4,143.05,563090,TDG
2013-02-20,143.26,143.72,139.71,139.86,357048,TDG
2013-02-21,139.47,141.21,138.92,141.16,374385,TDG
2013-02-22,141.5,143.0,141.5,142.74,243315,TDG
2013-02-25,143.19,143.23,138.83,138.83,280424,TDG
2013-02-26,139.53,139.95,138.47,139.18,207718,TDG
2013-02-27,139.28,143.53,139.0,142.6,358318,TDG
2013-02-28,142.82,144.33,141.94,142.34,455850,TDG
2013-03-01,141.71,143.61,140.54,142.68,197078,TDG
2013-03-04,142.09,143.08,141.005,141.75,295456,TDG
2013-03-05,142.62,144.61,142.43,142.84,195367,TDG
2013-03-06,143.65,144.14,142.85,143.51,141817,TDG
2013-03-07,143.96,144.37,142.76,143.72,160609,TDG
2013-03-08,144.36,144.66,143.36,143.85,329517,TDG
2013-03-11,146.45,147.75,145.31,147.56,526549,TDG
2013-03-12,147.67,148.17,146.185,146.9,272535,TDG
2013-03-13,146.97,150.68,146.61,150.59,325273,TDG
2013-03-14,150.795,151.03,149.51,150.91,244969,TDG
2013-03-15,150.27,151.96,150.09,151.02,629057,TDG
2013-03-18,149.48,151.38,149.43,150.1,264356,TDG
2013-03-19,150.45,151.0,149.0,150.44,319293,TDG
2013-03-20,150.96,152.17,149.95,151.71,215841,TDG
2013-03-21,150.81,151.36,149.0,149.71,178205,TDG
2013-03-22,150.2,150.47,148.84,149.35,145085,TDG
2013-03-25,149.78,150.66,147.87,148.28,305575,TDG
2013-03-26,149.16,150.58,148.35,150.27,241791,TDG
2013-03-27,149.46,151.5,148.63,150.96,179897,TDG
2013-03-28,151.19,153.12,150.15,152.92,213243,TDG
2013-04-01,153.19,153.74,150.666,151.09,269574,TDG
2013-04-02,151.17,152.17,150.23,150.39,241405,TDG
2013-04-03,150.81,151.47,148.84,149.53,243741,TDG
2013-04-04,149.68,150.29,148.75,149.84,94909,TDG
2013-04-05,148.17,148.555,146.2,147.88,293581,TDG
2013-04-08,147.71,151.0,147.635,150.28,192330,TDG
2013-04-09,150.4,151.76,150.33,151.21,266019,TDG
2013-04-10,151.64,153.655,150.36,153.22,285485,TDG
2013-04-11,153.63,155.17,151.99,153.01,308047,TDG
2013-04-12,152.36,153.665,151.0575,152.9,139700,TDG
2013-04-15,152.9,153.44,148.5,148.88,233563,TDG
2013-04-16,150.39,150.5,146.86,148.16,365793,TDG
2013-04-17,146.76,147.43,143.8247,145.49,351861,TDG
2013-04-18,145.63,145.67,142.931,144.18,146271,TDG
2013-04-19,144.71,145.45,144.05,145.37,128217,TDG
2013-04-22,145.6,146.79,143.32,146.16,212260,TDG
2013-04-23,147.14,147.2,145.01,146.88,139426,TDG
2013-04-24,147.53,148.5,147.21,148.09,178091,TDG
2013-04-25,148.2,148.41,147.11,147.35,141404,TDG
2013-04-26,147.45,147.61,144.8,145.31,251529,TDG
2013-04-29,145.6,145.93,144.05,144.87,320657,TDG
2013-04-30,144.93,147.09,144.74,146.8,446492,TDG
2013-05-01,146.73,148.15,146.05,147.0,325095,TDG
2013-05-02,147.62,149.99,147.62,149.02,192680,TDG
2013-05-03,150.89,150.985,149.434,149.5,236661,TDG
2013-05-06,149.54,151.0,149.01,150.3,265702,TDG
2013-05-07,151.0,151.0,146.25,150.13,453472,TDG
2013-05-08,150.27,150.66,147.84,148.5,283786,TDG
2013-05-09,149.04,150.97,147.99,149.87,253701,TDG
2013-05-10,149.8,150.204,148.65,148.84,142144,TDG
2013-05-13,148.85,148.85,147.29,148.11,264939,TDG
2013-05-14,147.89,150.21,147.88,150.08,251108,TDG
2013-05-15,150.08,155.97,149.9,154.69,556889,TDG
2013-05-16,154.95,155.43,150.17,150.65,443200,TDG
2013-05-17,150.69,152.28,148.81,149.83,447622,TDG
2013-05-20,149.47,150.99,149.33,149.84,158347,TDG
2013-05-21,149.82,150.195,148.96,149.42,190719,TDG
2013-05-22,149.29,152.16,149.1,150.01,397342,TDG
2013-05-23,148.68,148.68,147.31,147.85,247303,TDG
2013-05-24,147.62,148.17,146.33,147.0,264075,TDG
2013-05-28,148.03,150.796,146.89,148.26,501276,TDG
2013-05-29,148.09,148.14,145.94,146.92,214307,TDG
2013-05-30,147.35,148.96,145.2,146.1,650691,TDG
2013-05-31,145.62,147.16,145.134,146.1,261943,TDG
2013-06-03,146.42,149.265,146.1646,148.88,380955,TDG
2013-06-04,148.5,149.514,147.55,147.76,312403,TDG
2013-06-05,147.17,148.3193,146.23,147.45,318369,TDG
2013-06-06,147.68,150.73,146.71,150.72,431084,TDG
2013-06-07,151.07,151.6,149.37,149.86,407045,TDG
2013-06-10,149.85,150.88,149.38,149.99,298388,TDG
2013-06-11,148.7,150.05,147.35,147.51,420571,TDG
2013-06-12,148.63,148.63,145.04,145.23,366667,TDG
2013-06-13,142.92,146.58,142.92,145.68,751607,TDG
2013-06-14,145.54,149.7,143.02,148.78,817611,TDG
2013-06-17,149.93,153.44,149.484,152.24,361086,TDG
2013-06-18,158.56,161.5,155.44,156.85,1492727,TDG
2013-06-19,157.1,158.3,155.9,156.84,914709,TDG
2013-06-20,154.48,157.34,153.725,157.14,899775,TDG
2013-06-21,155.19,163.83,155.19,162.48,1330459,TDG
2013-06-24,161.02,164.17,158.88,162.19,936314,TDG
2013-06-25,162.58,164.62,154.79,156.81,1311469,TDG
2013-06-26,157.81,158.31,155.92,156.79,665396,TDG
2013-06-27,158.35,159.685,156.8775,158.04,769044,TDG
2013-06-28,157.39,159.08,156.6,156.77,610198,TDG
2013-07-01,156.57,158.08,154.35,154.96,988457,TDG
2013-07-02,155.11,156.59,150.14,151.67,701993,TDG
2013-07-03,151.63,153.96,150.69,153.7,342518,TDG
2013-07-05,157.5,158.26,153.9,158.0,854634,TDG
2013-07-08,158.28,160.68,158.25,160.11,1207632,TDG
2013-07-09,160.52,164.395,159.48,159.8,907025,TDG
2013-07-10,160.08,162.23,159.059,160.8,1265730,TDG
2013-07-11,139.64,143.15,139.64,141.64,660883,TDG
2013-07-12,141.6,142.94,140.07,142.36,422136,TDG
2013-07-15,143.0,143.14,140.85,140.99,277474,TDG
2013-07-16,140.94,140.94,138.92,139.16,494469,TDG
2013-07-17,139.29,140.54,137.56,139.15,711170,TDG
2013-07-18,139.04,139.64,138.09,138.75,418504,TDG
2013-07-19,138.97,139.12,137.14,138.42,357150,TDG
2013-07-22,138.04,140.19,138.04,140.02,273174,TDG
2013-07-23,140.65,141.37,139.74,140.95,274075,TDG
2013-07-24,141.35,142.19,141.1,141.81,327529,TDG
2013-07-25,141.79,142.02,140.5,141.7,247879,TDG
2013-07-26,141.43,142.82,141.02,142.64,259736,TDG
2013-07-29,142.91,143.88,141.99,143.09,368787,TDG
2013-07-30,143.73,145.11,143.195,143.92,302355,TDG
2013-07-31,144.67,145.82,143.92,144.59,318875,TDG
2013-08-01,145.7,149.83,145.27,148.92,453660,TDG
2013-08-02,149.01,150.05,147.212,147.87,366920,TDG
2013-08-05,147.26,148.52,145.82,148.12,617496,TDG
2013-08-06,145.93,149.13,144.39,145.2,643823,TDG
2013-08-07,144.71,144.71,141.5701,143.03,488763,TDG
2013-08-08,143.46,144.37,139.92,140.78,632898,TDG
2013-08-09,140.48,141.55,139.998,140.68,260250,TDG
2013-08-12,140.47,140.96,139.75,140.37,282427,TDG
2013-08-13,140.33,140.93,139.4,139.62,163202,TDG
2013-08-14,139.48,139.99,138.04,138.95,181944,TDG
2013-08-15,138.9,139.55,137.75,137.9,317381,TDG
2013-08-16,137.45,138.2,135.83,137.06,339303,TDG
2013-08-19,137.0,139.56,137.0,138.2,288148,TDG
2013-08-20,138.2,139.28,137.86,138.51,196731,TDG
2013-08-21,137.63,139.06,137.4,138.24,235839,TDG
2013-08-22,138.53,139.79,137.56,139.18,86298,TDG
2013-08-23,139.21,140.4,139.09,139.93,115801,TDG
2013-08-26,139.99,140.91,139.25,139.9,203018,TDG
2013-08-27,138.76,139.9,136.52,137.67,170078,TDG
2013-08-28,137.87,138.5,136.78,137.48,120041,TDG
2013-08-29,136.79,139.6675,136.76,137.9,188606,TDG
2013-08-30,138.14,138.14,136.22,137.0,310548,TDG
2013-09-03,137.83,140.58,137.83,138.73,312940,TDG
2013-09-04,138.69,138.69,136.64,137.93,588779,TDG
2013-09-05,137.83,139.02,137.72,138.02,268233,TDG
2013-09-06,138.08,139.07,136.07,138.05,214972,TDG
2013-09-09,138.64,139.68,137.93,139.39,195860,TDG
2013-09-10,139.64,141.0,139.01,140.87,222153,TDG
2013-09-11,140.7,142.03,140.52,142.03,198044,TDG
2013-09-12,142.02,145.11,141.93,144.83,337911,TDG
2013-09-13,145.13,145.39,142.0,143.07,285296,TDG
2013-09-16,144.35,145.34,143.27,145.25,205012,TDG
2013-09-17,145.25,146.08,144.63,145.0,200077,TDG
2013-09-18,143.28,143.7,141.28,142.75,698935,TDG
2013-09-19,142.69,143.3,142.01,142.39,306021,TDG
2013-09-20,141.97,142.078,139.43,139.7,335090,TDG
2013-09-23,139.24,139.8907,134.71,134.94,668351,TDG
2013-09-24,134.48,137.58,134.48,136.52,877463,TDG
2013-09-25,137.2,137.5,135.36,135.67,227136,TDG
2013-09-26,135.88,137.32,135.6807,137.22,952601,TDG
2013-09-27,137.3,138.92,136.2563,138.67,526873,TDG
2013-09-30,138.51,140.07,136.895,138.7,669477,TDG
2013-10-01,138.31,141.29,138.01,141.28,492850,TDG
2013-10-02,140.01,142.34,139.67,142.22,762021,TDG
2013-10-03,141.57,142.43,140.095,141.05,656056,TDG
2013-10-04,140.94,141.12,140.02,140.49,716173,TDG
2013-10-07,139.13,140.92,138.155,139.76,248161,TDG
2013-10-08,139.6,140.37,138.665,139.68,679521,TDG
2013-10-09,139.69,140.47,136.86,137.86,725806,TDG
2013-10-10,139.48,141.02,138.77,140.69,466488,TDG
2013-10-11,140.84,142.2,140.26,140.57,677954,TDG
2013-10-14,139.63,141.03,139.355,140.5,242370,TDG
2013-10-15,140.41,141.05,139.1,139.74,159407,TDG
2013-10-16,140.88,141.41,139.6,140.17,399620,TDG
2013-10-17,139.9,141.23,139.65,140.91,824077,TDG
2013-10-18,141.42,141.835,139.345,140.13,1312363,TDG
2013-10-21,140.6,141.04,139.01,139.54,299020,TDG
2013-10-22,139.58,140.4799,139.08,139.46,429885,TDG
2013-10-23,139.58,146.26,139.32,145.42,886192,TDG
2013-10-24,145.65,147.05,144.78,146.46,609138,TDG
2013-10-25,146.51,147.12,145.29,146.22,249335,TDG
2013-10-28,146.27,146.68,144.78,145.2,749239,TDG
2013-10-29,145.26,147.54,144.935,147.18,568208,TDG
2013-10-30,147.6,148.6,145.87,147.18,202965,TDG
2013-10-31,146.85,147.2099,145.21,145.41,371790,TDG
2013-11-01,145.41,147.57,145.41,147.35,373749,TDG
2013-11-04,147.97,149.08,147.29,148.72,316808,TDG
2013-11-05,148.45,148.45,146.56,147.72,286890,TDG
2013-11-06,147.71,148.92,147.4,148.76,256957,TDG
2013-11-07,149.28,149.84,145.71,146.12,351673,TDG
2013-11-08,145.84,147.6,145.84,147.27,332182,TDG
2013-11-11,147.74,148.6499,146.94,147.23,300831,TDG
2013-11-12,147.14,148.09,146.3,147.74,311898,TDG
2013-11-13,147.39,149.59,146.62,149.15,320434,TDG
2013-11-14,149.58,149.58,143.54,145.85,806859,TDG
2013-11-15,146.75,149.83,146.75,148.45,642807,TDG
2013-11-18,149.15,149.98,146.81,147.11,610945,TDG
